t,coop_rate,avg_exposure,avg_prosocial,topo,seed,label
0,0.7333333333333333,0.13700342857142858,0.4284579599870073,scale_free,42,Compiled (idealized)
1,0.5666666666666667,0.16101862857142857,0.42827088785406386,scale_free,42,Compiled (idealized)
2,0.7333333333333333,0.17902352044387757,0.4347560945517753,scale_free,42,Compiled (idealized)
3,0.6,0.19213901550586734,0.435713411715222,scale_free,42,Compiled (idealized)
4,0.6666666666666666,0.201278985739592,0.43930867603043194,scale_free,42,Compiled (idealized)
5,0.6,0.34419352194343344,0.440129415749519,scale_free,42,Compiled (idealized)
6,0.6666666666666666,0.3715022415223281,0.44359219994370014,scale_free,42,Compiled (idealized)
7,0.7333333333333333,0.3906844371670422,0.4496177672787224,scale_free,42,Compiled (idealized)
8,0.8333333333333334,0.40327295028528704,0.45946256759369414,scale_free,42,Compiled (idealized)
9,0.8,0.4105206071075392,0.4676786905658833,scale_free,42,Compiled (idealized)
10,0.5666666666666667,0.5390398096734722,0.46631499651557345,scale_free,42,Compiled (idealized)
11,0.7,0.5605131322838254,0.4703255466201062,scale_free,42,Compiled (idealized)
12,0.6666666666666666,0.5736951289418285,0.4728824468881697,scale_free,42,Compiled (idealized)
13,0.6666666666666666,0.5801821736919166,0.4753626401481913,scale_free,42,Compiled (idealized)
14,0.5333333333333333,0.5812805075441031,0.4724350942770788,scale_free,42,Compiled (idealized)
15,0.6666666666666666,0.7150641823853353,0.4749287081154332,scale_free,42,Compiled (idealized)
16,0.8,0.7324203300506841,0.4826808468719702,scale_free,42,Compiled (idealized)
17,0.8,0.7410490784239984,0.4902004214658111,scale_free,42,Compiled (idealized)
18,0.8666666666666667,0.7426654214921274,0.5001610754885034,scale_free,42,Compiled (idealized)
19,0.8,0.7386722192851914,0.5071562432238482,scale_free,42,Compiled (idealized)
20,0.8666666666666667,0.8672221429204019,0.5166082225937995,scale_free,42,Compiled (idealized)
21,0.7333333333333333,0.8792661848672123,0.5204433092493189,scale_free,42,Compiled (idealized)
22,0.7,0.8825562079537324,0.5228300099718393,scale_free,42,Compiled (idealized)
23,0.7666666666666667,0.8788489601318484,0.5278117763393507,scale_free,42,Compiled (idealized)
24,0.7333333333333333,0.8695808262612469,0.5313107563825036,scale_free,42,Compiled (idealized)
25,0.8,1.0380800651235957,0.5373714336910284,scale_free,42,Compiled (idealized)
26,0.8666666666666667,1.0529351694282274,0.5459169573469642,scale_free,42,Compiled (idealized)
27,0.8,1.0571685581249874,0.5515394486265552,scale_free,42,Compiled (idealized)
28,0.8,1.0529189940893362,0.5569932651677586,scale_free,42,Compiled (idealized)
29,0.9333333333333333,1.0419334658460098,0.5676168005460592,scale_free,42,Compiled (idealized)
30,0.8,1.1512272902590481,0.5725882965296775,scale_free,42,Compiled (idealized)
31,0.7,1.1528112875393426,0.573410647633787,scale_free,42,Compiled (idealized)
32,0.8,1.1457070241382652,0.5782083282047735,scale_free,42,Compiled (idealized)
33,0.7,1.1317275704957537,0.5788620783586303,scale_free,42,Compiled (idealized)
34,0.7666666666666667,1.1123544429613827,0.5821628826745381,scale_free,42,Compiled (idealized)
35,0.7,1.2143858617966634,0.5826979961943018,scale_free,42,Compiled (idealized)
36,0.8333333333333334,1.2096545147991165,0.5885503896418061,scale_free,42,Compiled (idealized)
37,0.8,1.197035305543993,0.592893877952552,scale_free,42,Compiled (idealized)
38,0.7,1.1782201292710452,0.5931070616139755,scale_free,42,Compiled (idealized)
39,0.9333333333333333,1.1545900292927394,0.6026471830988894,scale_free,42,Compiled (idealized)
40,0.9,1.3094254270067336,0.6105677676059229,scale_free,42,Compiled (idealized)
41,0.8,1.3112729293113614,0.6142507345777453,scale_free,42,Compiled (idealized)
42,0.7666666666666667,1.3031178193985524,0.6164898792070795,scale_free,42,Compiled (idealized)
43,0.8666666666666667,1.287065544205108,0.6226618494975337,scale_free,42,Compiled (idealized)
44,0.7666666666666667,1.2648328755479739,0.6246486606792744,scale_free,42,Compiled (idealized)
45,0.8333333333333334,1.374824406600993,0.6292425341922293,scale_free,42,Compiled (idealized)
46,0.8333333333333334,1.368192750591283,0.6336985914997959,scale_free,42,Compiled (idealized)
47,0.8333333333333334,1.352850502141835,0.6380209670881353,scale_free,42,Compiled (idealized)
48,0.9333333333333333,1.3306818505327662,0.6462136714088246,scale_free,42,Compiled (idealized)
49,0.9666666666666667,1.3032234810048433,0.6554939279332266,scale_free,42,Compiled (idealized)
