t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
0,0.4666666666666667,12.733333333333333,0.28219895287958113,0.4682890207720961,0.13290696937459504,0.16666666666666666,0.008554448588509123,6,scale_free,42,Unstructured R=0.7
1,0.36666666666666664,11.166666666666666,0.3937313432835821,0.4560943382794445,0.15152579024027085,0.16666666666666666,0.008554448588509123,6,scale_free,42,Unstructured R=0.7
2,0.43333333333333335,11.933333333333334,0.3258845437616387,0.4533630176859112,0.16191282922844732,0.16666666666666666,0.008554448588509123,6,scale_free,42,Unstructured R=0.7
3,0.3,9.266666666666667,0.48513189448441246,0.43495945556360177,0.16315519962375272,0.16666666666666666,0.008554448588509123,6,scale_free,42,Unstructured R=0.7
4,0.23333333333333334,8.633333333333333,0.44594594594594594,0.41076432089596965,0.15361878188413375,0.16666666666666666,0.008554448588509123,6,scale_free,42,Unstructured R=0.7
5,0.26666666666666666,9.533333333333333,0.45547785547785546,0.3934726023884532,0.1493935296950601,0.5,0.030445768138941634,6,scale_free,42,Unstructured R=0.7
6,0.23333333333333334,8.5,0.4973856209150327,0.37425589010183885,0.13928507785042063,0.5,0.024530103550040705,6,scale_free,42,Unstructured R=0.7
7,0.26666666666666666,9.033333333333333,0.48056580565805657,0.36134518328961823,0.15362735047036935,0.5,0.03248896305848654,6,scale_free,42,Unstructured R=0.7
8,0.3,9.466666666666667,0.4582159624413146,0.35398376129486403,0.14841866752333116,0.6666666666666666,0.03836929693470711,6,scale_free,42,Unstructured R=0.7
9,0.23333333333333334,9.0,0.4639506172839506,0.3395057099394804,0.15422808186803538,0.3333333333333333,0.01864976967382013,6,scale_free,42,Unstructured R=0.7
10,0.2,8.166666666666666,0.4325170068027211,0.32276502474674273,0.12908623877953296,0.5,0.03692640137990277,6,scale_free,42,Unstructured R=0.7
11,0.26666666666666666,10.666666666666666,0.33208333333333334,0.3160332217771335,0.1261702375872909,0.6666666666666666,0.039862460210565796,6,scale_free,42,Unstructured R=0.7
12,0.2,8.166666666666666,0.4412244897959184,0.3021092351638775,0.12645706472778326,0.8333333333333334,0.061565941838242544,6,scale_free,42,Unstructured R=0.7
13,0.16666666666666666,7.0,0.5307936507936508,0.28585612694421225,0.12888114068574005,0.6666666666666666,0.04895965483117415,6,scale_free,42,Unstructured R=0.7
14,0.13333333333333333,7.933333333333334,0.3784313725490196,0.26755339171090675,0.13125586447410623,0.5,0.0454424389208643,6,scale_free,42,Unstructured R=0.7
15,0.3333333333333333,10.866666666666667,0.41595092024539876,0.2754469847055979,0.14544619966496655,0.5,0.02539189370878855,6,scale_free,42,Unstructured R=0.7
16,0.23333333333333334,8.6,0.4498708010335917,0.2703933465409263,0.13906054702967827,0.6666666666666666,0.029845172216966018,6,scale_free,42,Unstructured R=0.7
17,0.4,10.766666666666667,0.4498452012383901,0.28594614495601506,0.14317686423267378,0.6666666666666666,0.029845172216966018,6,scale_free,42,Unstructured R=0.7
