t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
0,0.5333333333333333,13.433333333333334,0.32315963606286185,0.47628902077209617,0.14718095765028896,0.5,0.11666666666666665,6,scale_free,42,Compiled R=0.1
1,0.4666666666666667,12.066666666666666,0.37697974217311236,0.47513433827944457,0.14264669854870718,0.6666666666666666,0.12236109341404715,6,scale_free,42,Compiled R=0.1
2,0.43333333333333335,11.833333333333334,0.33943661971830985,0.47011821768591117,0.13417846336313377,0.5,0.11666666666666665,6,scale_free,42,Compiled R=0.1
3,0.36666666666666664,10.5,0.4674074074074074,0.4577040315636018,0.12600382334906934,0.5,0.09166666666666667,6,scale_free,42,Compiled R=0.1
4,0.36666666666666664,11.966666666666667,0.3406685236768802,0.4467795477759696,0.13440229564219228,0.5,0.10833333333333334,6,scale_free,42,Compiled R=0.1
5,0.26666666666666666,10.2,0.35446623093681917,0.42516600204285326,0.1431265269731495,0.5,0.09999999999999999,6,scale_free,42,Compiled R=0.1
6,0.3333333333333333,9.433333333333334,0.5138987043580683,0.41414608179771084,0.16228762924334778,0.5,0.09999999999999999,6,scale_free,42,Compiled R=0.1
7,0.23333333333333334,8.933333333333334,0.43582089552238806,0.3924485519819855,0.16345648400725474,0.5,0.09999999999999999,6,scale_free,42,Compiled R=0.1
8,0.3333333333333333,9.966666666666667,0.49108138238573024,0.3853547257441473,0.17250311185130748,0.5,0.09166666666666667,6,scale_free,42,Compiled R=0.1
9,0.3333333333333333,9.833333333333334,0.4378531073446328,0.3791121586548497,0.16905119164814536,0.5,0.09166666666666667,6,scale_free,42,Compiled R=0.1
10,0.23333333333333334,8.666666666666666,0.41820512820512823,0.36161869961626764,0.16992103285631913,0.5,0.09999999999999999,6,scale_free,42,Compiled R=0.1
11,0.36666666666666664,10.766666666666667,0.32291021671826625,0.3622244556623154,0.17894036378964945,0.5,0.09166666666666667,6,scale_free,42,Compiled R=0.1
12,0.4,11.366666666666667,0.34750733137829914,0.3667575209828377,0.17984697892078808,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
13,0.2,7.733333333333333,0.47758620689655173,0.346746618464897,0.17128517152490322,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
14,0.16666666666666666,7.133333333333334,0.4657320872274143,0.3251370242491095,0.17006593666794212,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
15,0.06666666666666667,6.2,0.4118279569892473,0.29412058133921637,0.15050704780119473,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
16,0.16666666666666666,7.1,0.4924882629107981,0.2788261115785104,0.14788177451831164,0.3333333333333333,0.075,6,scale_free,42,Compiled R=0.1
17,0.23333333333333334,7.866666666666666,0.5016949152542373,0.2733669781890891,0.14145898029214082,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
18,0.3333333333333333,10.6,0.36436058700209645,0.28056294080639843,0.1528942616835597,0.5,0.08333333333333333,6,scale_free,42,Compiled R=0.1
19,0.4,10.366666666666667,0.4569131832797428,0.29489538790963066,0.1544749229689116,0.5,0.09166666666666667,6,scale_free,42,Compiled R=0.1
