t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
0,0.5333333333333333,13.433333333333334,0.32315963606286185,0.47628902077209617,0.14718095765028896,0.5,0.07619564706636887,6,scale_free,42,Compiled R=0.5
1,0.4666666666666667,12.066666666666666,0.37697974217311236,0.47513433827944457,0.14264669854870718,0.5,0.07619564706636887,6,scale_free,42,Compiled R=0.5
2,0.43333333333333335,11.833333333333334,0.33943661971830985,0.47011821768591117,0.13417846336313377,0.5,0.07619564706636887,6,scale_free,42,Compiled R=0.5
3,0.3333333333333333,9.833333333333334,0.49163841807909603,0.45370403156360173,0.12366357984132735,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
4,0.36666666666666664,11.966666666666667,0.3406685236768802,0.4432595477759696,0.1338703428353692,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
5,0.26666666666666666,10.2,0.35446623093681917,0.4220684020428533,0.14081729919145491,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
6,0.3333333333333333,9.433333333333334,0.5138987043580683,0.41142019379771083,0.16139262237428612,0.5,0.06515070558313908,6,scale_free,42,Compiled R=0.5
7,0.23333333333333334,8.933333333333334,0.43582089552238806,0.3900497705419856,0.16140726674792433,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
8,0.3333333333333333,9.966666666666667,0.49108138238573024,0.3832437980769473,0.17149538485844304,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
9,0.3333333333333333,9.833333333333334,0.4378531073446328,0.37725454230771377,0.16736975812198931,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
10,0.23333333333333334,8.666666666666666,0.41820512820512823,0.35998399723078794,0.16889833127578188,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
11,0.36666666666666664,10.766666666666667,0.32291021671826625,0.3607859175630933,0.17757437260725042,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
12,0.4,11.366666666666667,0.34750733137829914,0.36549160745552217,0.1782849252943159,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
13,0.2,7.733333333333333,0.47758620689655173,0.3456326145608594,0.16938567066517116,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
14,0.16666666666666666,7.133333333333334,0.4657320872274143,0.32415670081355635,0.16870245399146183,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
15,0.06666666666666667,6.2,0.4118279569892473,0.29325789671592967,0.14936021990443243,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
16,0.16666666666666666,7.1,0.4924882629107981,0.2780669491100181,0.14708185665290918,0.3333333333333333,0.049451790854738144,6,scale_free,42,Compiled R=0.5
17,0.23333333333333334,7.866666666666666,0.5016949152542373,0.2726989152168159,0.14094444836221,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
18,0.3333333333333333,10.6,0.36436058700209645,0.279975045390798,0.15267993400232727,0.5,0.0546847624308718,6,scale_free,42,Compiled R=0.5
19,0.4,10.366666666666667,0.4569131832797428,0.29437803994390227,0.15447151661371705,0.5,0.05991773400700543,6,scale_free,42,Compiled R=0.5
20,0.5333333333333333,13.166666666666666,0.3339240506329114,0.3230526751506339,0.16015514618066526,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
21,0.3333333333333333,10.633333333333333,0.3821316614420063,0.32428635413255796,0.17263032919744759,0.6666666666666666,0.07119635071356886,6,scale_free,42,Compiled R=0.5
22,0.36666666666666664,11.633333333333333,0.37125119388729705,0.32937199163665093,0.17227809737704766,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
23,0.23333333333333334,7.7,0.5692640692640693,0.3178473526402529,0.16653791515446364,0.5,0.060496732337967936,6,scale_free,42,Compiled R=0.5
24,0.4,11.6,0.3733716475095785,0.32770567032342257,0.17764086572187682,0.6666666666666666,0.07119635071356886,6,scale_free,42,Compiled R=0.5
25,0.4,10.933333333333334,0.38943089430894307,0.33638098988461185,0.180233955212731,0.5,0.06572970391410159,6,scale_free,42,Compiled R=0.5
