t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
0,0.4666666666666667,12.733333333333333,0.28219895287958113,0.4682890207720961,0.13290696937459504,0.3333333333333333,0.0214837619770898,6,scale_free,42,Unstructured R=0.5
1,0.36666666666666664,11.166666666666666,0.3937313432835821,0.4560943382794445,0.15152579024027085,0.16666666666666666,0.016887781921842454,6,scale_free,42,Unstructured R=0.5
2,0.4,11.633333333333333,0.3120343839541547,0.4493630176859112,0.16209124374413686,0.16666666666666666,0.016887781921842454,6,scale_free,42,Unstructured R=0.5
3,0.3,9.266666666666667,0.48513189448441246,0.4314394555636018,0.16406652592199725,0.16666666666666666,0.016887781921842454,6,scale_free,42,Unstructured R=0.5
4,0.23333333333333334,8.633333333333333,0.44594594594594594,0.4076667208959696,0.15492942358082926,0.16666666666666666,0.016887781921842454,6,scale_free,42,Unstructured R=0.5
5,0.26666666666666666,9.533333333333333,0.45547785547785546,0.39074671438845326,0.15101671404282696,0.5,0.052112434805608294,6,scale_free,42,Unstructured R=0.5
6,0.23333333333333334,8.5,0.4973856209150327,0.37185710866183885,0.14111087319555193,0.5,0.0445301035500407,6,scale_free,42,Unstructured R=0.5
7,0.26666666666666666,9.033333333333333,0.48056580565805657,0.35923425562241823,0.15534771602147407,0.5,0.05582229639181987,6,scale_free,42,Unstructured R=0.5
8,0.3,9.466666666666667,0.4582159624413146,0.352126144947728,0.15024473905358318,0.6666666666666666,0.06503596360137377,6,scale_free,42,Unstructured R=0.5
9,0.23333333333333334,9.0,0.4639506172839506,0.33787100755400074,0.15588517382464426,0.3333333333333333,0.03531643634048679,6,scale_free,42,Unstructured R=0.5
10,0.2,8.166666666666666,0.4325170068027211,0.32132648664752056,0.12955698046135034,0.6666666666666666,0.05934192754304165,6,scale_free,42,Unstructured R=0.5
11,0.26666666666666666,10.666666666666666,0.33208333333333334,0.3147673082498181,0.12686305107361914,0.8333333333333334,0.06394465304037135,6,scale_free,42,Unstructured R=0.5
12,0.2,8.166666666666666,0.4412244897959184,0.3009952312598399,0.12614775687698204,0.8333333333333334,0.09156594183824253,6,scale_free,42,Unstructured R=0.5
13,0.2,7.3,0.5407914764079148,0.2888758035086591,0.12821031860456322,0.8333333333333334,0.07637518099431302,6,scale_free,42,Unstructured R=0.5
14,0.13333333333333333,7.933333333333334,0.3784313725490196,0.2702107070876201,0.13042052295494755,0.5,0.05467857763358928,6,scale_free,42,Unstructured R=0.5
15,0.3333333333333333,10.866666666666667,0.41595092024539876,0.2777854222371057,0.14421597191685817,0.5,0.05039189370878855,6,scale_free,42,Unstructured R=0.5
16,0.23333333333333334,8.6,0.4498708010335917,0.272451171568653,0.13764679348639366,0.6666666666666666,0.058178505550299346,6,scale_free,42,Unstructured R=0.5
17,0.4,10.766666666666667,0.4498452012383901,0.2877570309804146,0.14100259687004568,0.6666666666666666,0.058178505550299346,6,scale_free,42,Unstructured R=0.5
18,0.4,12.866666666666667,0.2616580310880829,0.3012261872627648,0.15194158361930887,0.5,0.05039189370878855,6,scale_free,42,Unstructured R=0.5
19,0.26666666666666666,9.066666666666666,0.5215686274509804,0.29707904479123304,0.15596138233993173,0.6666666666666666,0.058178505550299346,6,scale_free,42,Unstructured R=0.5
20,0.23333333333333334,9.6,0.34282407407407406,0.2894295594162851,0.1486774225385332,0.16666666666666666,0.023698741748589745,6,scale_free,42,Unstructured R=0.5
21,0.16666666666666666,7.4,0.5186186186186186,0.27469801228633084,0.1461465782684899,0.16666666666666666,0.023698741748589745,6,scale_free,42,Unstructured R=0.5
22,0.2,9.133333333333333,0.39367396593673964,0.26573425081197116,0.1391336168165914,0.16666666666666666,0.023698741748589745,6,scale_free,42,Unstructured R=0.5
23,0.26666666666666666,9.7,0.43310423825887745,0.26584614071453466,0.1568300920347762,0.16666666666666666,0.023698741748589745,6,scale_free,42,Unstructured R=0.5
24,0.3333333333333333,11.133333333333333,0.34231536926147704,0.2739446038287905,0.16519155450466902,0.16666666666666666,0.023698741748589745,6,scale_free,42,Unstructured R=0.5
25,0.23333333333333334,8.4,0.4671957671957672,0.26907125136933563,0.166005601620369,0.6666666666666666,0.0796740924178939,6,scale_free,42,Unstructured R=0.5
